"start","end","IMPORTANT_NOTE","Type_of_setlement","Type_of_Host_Community","Record_your_current_location:Latitude","Record_your_current_location:Longitude","Record_your_current_location:Altitude","Record_your_current_location:Accuracy","Property","Type_of_Service","Availability","meta:instanceID"
"2019-12-02 18:23:38.971","2019-12-02 18:24:10.159",,"refugee_camp",,"27.4861893351","-7.8237316968","451.8113429387","4.0000000000","residential",,"yes","uuid:ef86fa1d-9d63-4185-b486-3ba1a4e99cf5"
"2019-11-27 17:57:44.258","2019-11-27 17:58:02.438",,"refugee_camp",,"27.4910613804","-7.8254539578","430.7465209961","4.9000000000","residential",,"yes","uuid:ed9b5b17-6e4f-4953-a75c-0028337f4da0"
"2020-03-26 11:22:42.081","2020-03-26 11:25:34.291",,"refugee_camp",,"40.3866591344","-3.6987669760","591.4454345703","4.9000000000","public",,"yes","uuid:553f78fe-c364-43b6-800e-54177eef400c"
"2020-03-26 11:25:38.475","2020-03-26 11:26:35.897",,"host_community","hostcommunityA","40.3869597955","-3.6986242867","587.2747192383","4.9000000000","residential",,"yes","uuid:71f6114a-1fb7-4d9d-8631-e368c5d9f271"
"2020-03-26 11:26:41.956","2020-03-26 11:27:46.348",,"host_community","hostcommunityA","40.3870890356","-3.6986517306","592.9316406250","4.9000000000","commercial",,"yes","uuid:0bbae19b-077d-4b62-ae12-8a2ad03120f8"
"2020-03-26 11:27:56.804","2020-03-26 11:28:30.832",,"host_community","hostcommunityA","40.3868216116","-3.6984808485","595.5296020508","4.9000000000","commercial",,,"uuid:a4ab5264-8be2-4dd9-8bfe-cd7e83f1e762"
"2020-03-26 11:28:49.337","2020-03-26 11:30:28.271",,"host_community","hostcommunityA","40.3866819975","-3.6986531052","0E-10","5666.3545000000","communal_servi","educational_center","Do_not_know","uuid:aecf8ba0-114e-461e-8a4f-a099dad9b8ca"
"2020-03-24 20:22:27.397","2020-03-24 20:36:15.463","refugee_camp",,"40.2813199700","-3.8070142100","719.0000000000","45.0000000000","communal_servi","educational_center","yes","uuid:cc5589bf-a760-4f16-860c-7363d4cb47b9"
"2020-03-24 20:29:04.022","2020-03-24 20:36:50.771","host_community","hostcommunityA","40.2810551800","-3.8072202300","741.0000000000","23.0000000000","communal_servi","educational_center","no","uuid:1df4da00-2149-4cd6-b8b2-82e1e7fbdfb9"
"2020-03-24 20:31:00.329","2020-03-24 20:37:13.122","refugee_camp",,"40.2812883000","-3.8069893900","737.0000000000","45.0000000000","communal_servi","educational_center","no","uuid:415a427d-885f-4053-9693-9cd2c99b36a3"
"2020-03-24 20:33:46.604","2020-03-24 20:37:40.616","refugee_camp",,"40.2809821500","-3.8072279100","756.0000000000","12.0000000000","communal_servi","health_center",,"uuid:ad4ce6aa-d5ce-41a6-b7fc-707e7b4e40e1"
