"start","end","Type_of_setlement","Type_of_Host_Community","Location:Latitude","Location:Longitude","Location:Altitude","Location:Accuracy","Construc_tion_Details:Appropiate_Roof","Construc_tion_Details:Structural_Security","Construc_tion_Details:Resilient","Construc_tion_Details:Ventilation","Construc_tion_Details:Humidity","Construc_tion_Details:Animals","Construc_tion_Details:Thermal_Confort","Construc_tion_Details:Picture_Outside","Construc_tion_Details:Picture_Outside_001","Construc_tion_Details:Picture_Inside","Water_Access","Important_Note","Sanitation_acess","Important_Note_001","Crop_Yard","Important_Note_002","Energy","Important_Note_003","meta:instanceID"
"2019-11-26 18:02:33.581","2019-11-26 18:10:17.963","refugee_camp","hostcommunityA","27.4859313695","-7.8221210281","456.8868589905","6.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A840e6866-647e-4e82-8b63-3b5422a8545c%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A840e6866-647e-4e82-8b63-3b5422a8545c%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A840e6866-647e-4e82-8b63-3b5422a8545c%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:840e6866-647e-4e82-8b63-3b5422a8545c"
"2019-11-26 18:17:14.501","2019-11-26 18:22:41.766","refugee_camp","hostcommunityA","27.4872008972","-7.8206352721","450.5197095432","6.0000000000","yes","no","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8622da31-d6d6-4703-aad7-940641097caf%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8622da31-d6d6-4703-aad7-940641097caf%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8622da31-d6d6-4703-aad7-940641097caf%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:8622da31-d6d6-4703-aad7-940641097caf"
"2019-11-26 18:31:13.942","2019-11-26 18:37:10.991","refugee_camp","hostcommunityA","27.4887078381","-7.8198630346","452.3937727010","4.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad6541caa-1f92-4fdf-843c-48c9f17fb257%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad6541caa-1f92-4fdf-843c-48c9f17fb257%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad6541caa-1f92-4fdf-843c-48c9f17fb257%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:d6541caa-1f92-4fdf-843c-48c9f17fb257"
"2019-11-26 18:41:50.384","2019-11-26 18:45:21.567","refugee_camp","hostcommunityA","27.4889747053","-7.8183251421","446.8173439777","8.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aea6571f5-e68f-4858-8552-29ba317302ec%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aea6571f5-e68f-4858-8552-29ba317302ec%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aea6571f5-e68f-4858-8552-29ba317302ec%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:ea6571f5-e68f-4858-8552-29ba317302ec"
"2019-11-29 18:00:46.229","2019-11-29 18:04:25.387","refugee_camp","hostcommunityA","27.4857864569","-7.8241565023","448.8859394385","4.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A5e379fbf-e6e2-4f01-9ee7-e416b067e77e%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A5e379fbf-e6e2-4f01-9ee7-e416b067e77e%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A5e379fbf-e6e2-4f01-9ee7-e416b067e77e%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:5e379fbf-e6e2-4f01-9ee7-e416b067e77e"
"2019-11-29 18:24:29.61","2019-11-29 18:38:11.136","refugee_camp","hostcommunityA","27.4859329319","-7.8232088991","446.1841515131","6.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acd12b13e-812f-4137-9bdf-9665ef4afe8c%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acd12b13e-812f-4137-9bdf-9665ef4afe8c%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acd12b13e-812f-4137-9bdf-9665ef4afe8c%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:cd12b13e-812f-4137-9bdf-9665ef4afe8c"
"2019-11-29 18:39:56.398","2019-11-29 18:47:02.516","refugee_camp","hostcommunityA","27.4861277356","-7.8229738025","445.0457349920","6.0000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae814a90f-bc90-4b67-9e79-980b1d879219%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae814a90f-bc90-4b67-9e79-980b1d879219%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae814a90f-bc90-4b67-9e79-980b1d879219%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:e814a90f-bc90-4b67-9e79-980b1d879219"
"2019-12-02 18:14:55.526","2019-12-02 18:23:20.214","refugee_camp","hostcommunityA","27.4862087463","-7.8237319338","451.7762613661","4.0000000000","yes","yes","yes","yes","no","yes","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0219a6ac-efaa-423f-80b6-12cc335364ae%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0219a6ac-efaa-423f-80b6-12cc335364ae%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0219a6ac-efaa-423f-80b6-12cc335364ae%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"yes",,"yes",,"uuid:0219a6ac-efaa-423f-80b6-12cc335364ae"
"2019-11-27 17:42:37.385","2019-11-27 17:45:46.536","refugee_camp","hostcommunityA","27.4895138635","-7.8240036968","455.6466979980","4.9000000000","yes","yes","yes","yes","no","no","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adc6769fb-7c60-4e74-8da5-f49d85be4fa5%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adc6769fb-7c60-4e74-8da5-f49d85be4fa5%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adc6769fb-7c60-4e74-8da5-f49d85be4fa5%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:dc6769fb-7c60-4e74-8da5-f49d85be4fa5"
"2019-11-27 17:52:46.631","2019-11-27 18:05:13.653","refugee_camp","hostcommunityA","27.4909480465","-7.8254686972","442.9794921875","4.9000000000","yes","no","no","yes","no","yes","yes","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac68cc0b1-77fe-44a6-a80c-0a1e4f40724f%5D%2FConstruc_tion_Details%3APicture_Outside","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac68cc0b1-77fe-44a6-a80c-0a1e4f40724f%5D%2FConstruc_tion_Details%3APicture_Outside_001","http://138.4.46.248:8080/ODKAggregate/view/binaryData?blobKey=shelter%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac68cc0b1-77fe-44a6-a80c-0a1e4f40724f%5D%2FConstruc_tion_Details%3APicture_Inside","yes",,"yes",,"no",,"yes",,"uuid:c68cc0b1-77fe-44a6-a80c-0a1e4f40724f"
"2020-03-24 13:43:33.8","2020-03-24 13:48:18.604","host_community","hostcommunityA",,,,,"yes","yes","yes","yes","yes","yes","yes",,,,"yes",,"yes",,"yes",,"yes",,"uuid:e4c1891c-7412-4896-83a6-162dde00d3ea"
"2020-03-24 13:48:24.069","2020-03-24 13:48:56.453","refugee_camp","hostcommunityA",,,,,"yes",,"yes","yes",,,,,,,,,"yes",,"no",,,,"uuid:bd0aa995-1f71-43f6-8b42-dec606b82fa8"
"2020-03-24 13:49:25.824","2020-03-24 13:50:53.626","host_community","hostcommunityA",,,,,"yes",,,,,,,,,,,,,,,,,,"uuid:3af7df54-5e9f-46d4-a53c-73c253c9d803"
"2020-03-24 13:52:56.644","2020-03-24 13:53:06.018","host_community","hostcommunityA",,,,,,,,,,,,,,,,,,,,,,,"uuid:12b73119-4a36-409e-9aeb-897e74de00a1"
"2020-03-26 18:03:08.68","2020-03-26 18:32:43.064","refugee_camp","hostcommunityA","40.2810475500","-3.8071949900","739.0000000000","19.0000000000","yes","no","yes","no","no","no","no",,,,"no",,"yes",,"no",,"yes",,"uuid:fff7902a-2d9b-40f8-bc50-c46ea66ab1ce"
"2020-03-26 18:38:17.596","2020-03-26 18:38:44.031","refugee_camp","hostcommunityA",,,,,"yes",,,"yes",,"no",,,,,,,"yes",,,,"no",,"uuid:cdebc6f4-e206-4de7-bfdd-2ea6e46ef297"
"2020-03-26 18:40:20.372","2020-03-26 18:40:35.123","host_community","hostcommunityA",,,,,,,,,,,,,,,,,,,,,"yes",,"uuid:9cf27380-eff8-4c24-a434-2b3daeb02fba"
"2020-03-26 18:40:53.971","2020-03-26 18:41:08.925","host_community","hostcommunityA",,,,,,,,,,,,,,,,,,,,,,,"uuid:b9989455-757b-4de4-bb69-5d211c84bc03"
