,,nan,nan,Street_morning
,,nan,nan,Street_Night
,,20.0,nan,Bath_Area
,,nan,nan,Latrine_Night
,,nan,nan,Open_Space
,,20.0,nan,Work_Area
,,nan,nan,Shelter_Night
,,10.0,nan,Shelter_Morning
,,nan,nan,Street_morning
,,nan,nan,Street_Night
,,nan,nan,Bath_Area
,,nan,nan,Latrine_Night
,,nan,nan,Open_Space
,,nan,nan,Work_Area
,,nan,nan,Shelter_Night
,,nan,nan,Shelter_Morning
,,nan,nan,Street_morning
,,nan,nan,Street_Night
,,nan,nan,Bath_Area
,,nan,nan,Latrine_Night
,,nan,nan,Open_Space
,,nan,nan,Work_Area
,,nan,nan,Shelter_Night
,,nan,nan,Shelter_Morning
